Equipo,Start Time,Week,Sistema,System_google_translated,Estado/C¢digo,C¢digo de tipo,End Time,Duration (min),Duration (hrs),Work Type,Comentario,Commentary_google_translated,Locaton
TK434,03-12-16 8:07,Week-011,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,03-12-16 8:59,52.2,0.9,No programado,COMPLETIVO DE AIRE DE LA LLANTA POSICION 5 ,COMPLETIVE AIR FRAME POSITION 5,COMBUSTIBLE TALLER
TK408,03-12-16 5:16,Week-011,MOTOR,MOTOR,EN-1010  MOTOR-ENFRIAMIENTO,C¢digo Secundario,03-12-16 12:20,423.72,7.1,No programado,FUGA DE COOLANT POR MANGUERA DEL RADIADOR,COOLANT LEAK BY RADIATOR HOSE,MO310C902
TK408,03-12-16 12:36,Week-011,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,03-12-16 13:10,34.32,0.6,No programado,CORTE FUERTE EN LLANTA POSICION 5 ,STRONG CUTTING ON FRONT POSITION 5,MO310C902
TK434,03-12-16 13:28,Week-011,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,03-12-16 13:54,25.75,0.4,No programado,CARRERA DE FRENOS ALTO NIVEL 3 ,HIGH LEVEL 3 BRAKE RACE,MO300C003
TK408,03-12-16 19:59,Week-011,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,03-12-16 20:40,40.8,0.7,No programado,NO ENCIENDE POR FALTA DE AIRE,DO NOT IGNITE FOR LACK OF AIR,HR2-HR10
TK434,3/13/2016 0:49,Week-011,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,3/13/2016 3:16,146.55,2.4,Programado,INSP. 250 HRS,INSP.†250 HRS,ENTRADA DE COMBUSTIBLE
TK422,3/13/2016 3:03,Week-011,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,3/13/2016 3:48,44.38,0.7,No programado,INSPECCION DE LA ALARMA DE REVERSA,INSPECTION OF REVERSE ALARM,PQ-VIA2
TK434,3/13/2016 4:49,Week-011,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/13/2016 5:19,30.22,0.5,No programado,RESETEO DEL SISTEMA DE PROTECCION DE LOS FRENOS POR CARRERA ,RESET OF THE SYSTEM OF PROTECTION OF BRAKES BY CAREER,MO200B201
TK408,3/13/2016 6:53,Week-011,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,3/13/2016 8:39,106.55,1.8,No programado,NO ENCIENDE POR AIRE  + CORREGIR FUGA POR EL CILINDRO DE DIRECCI?N LADO DERECHO,DO NOT IGNITE BY AIR + CORRECTION LEAK BY THE RIGHT SIDE DIRECTION CYLINDER,PARQUEO HR6
TK434,3/13/2016 10:27,Week-011,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,3/13/2016 10:50,22.63,0.4,No programado,DESCARGA DE VIMS,DOWNLOAD THE VIMS,ENTRADA DE COMBUSTIBLE
TK408,3/13/2016 8:39,Week-011,DIRECCION,ADDRESS,ST-1810  DIRECCION-BRAZO DE DIRECCION,C¢digo Secundario,3/13/2016 11:40,180.37,3,No programado,CORREGIR FUGA POR EL CILINDRO DE DIRECCI?N LADO DERECHO,CORRELATE LEAKAGE BY RIGHT SIDE DIRECTION CYLINDER,PARQUEO HR6
TK408,3/13/2016 20:47,Week-011,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-820  ELECTRICO 12/24 VOLTS-LUCES,C¢digo Secundario,3/14/2016 0:00,192.58,3.2,No programado,LUZ DE BAJA QUEMADA DEL LADO DERECHO SUPERIOR+ LUZ DE LA ESCALERA Y DE LA CABINA QUEMADA+FALTA BOTON DEL ASIENTO DEL CONDUCTOR,LOW BURNER LIGHT SIDE UPPER RIGHT + BELL LADDER AND CABIN LIGHT BURNER + MISSING DRIVER SEAT BUTTON,ENTRADA DE COMBUSTIBLE
TK434,3/14/2016 6:04,Week-011,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,3/14/2016 6:29,25.65,0.4,No programado,FUGA DE ACEITE HDIRAULICO [M3],HDIRAULIC OIL LEAKAGE [M3],S-MG3A/390
TK408,3/14/2016 9:19,Week-012,CABINA/CHASSIS,CAB / CHASSIS,CC-410  CABINA/CHASSIS-CABINA,C¢digo Secundario,3/14/2016 12:03,163.58,2.7,No programado,FALLA EN EL AIRE ACONDICIONADO,FAILURE IN THE AIR CONDITIONING,HR2-HR10
TK434,3/14/2016 6:30,Week-012,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,3/14/2016 12:46,376.22,6.3,No programado,FUGA DE ACEITE HDIRAULICO [M3],HDIRAULIC OIL LEAKAGE [M3],S-MG3A/390
TK403,3/14/2016 13:36,Week-012,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,3/14/2016 21:01,445.4,7.4,No programado,SE INSPECCIONARON TODOS LOS FILTRO Y TODOS LOS PAR?METROS,ALL FILTERS AND ALL PARAMETERS WERE INSPECTED,MN-08
TK403,3/14/2016 22:22,Week-012,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-820  ELECTRICO 12/24 VOLTS-LUCES,C¢digo Secundario,3/14/2016 23:06,43.17,0.7,No programado,CAMBIO DE LUCES TRASERAS,CHANGE OF REAR LIGHTS,ENTRADA DE COMBUSTIBLE
TK422,3/15/2016 0:14,Week-012,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,3/15/2016 1:41,86.73,1.4,No programado,ALARMA DE RETROCESO NO FUNCIONA,KICK ALARM DOES NOT WORK,SALIDA-ESTACION COMBUSTIBLE
TK403,3/15/2016 1:00,Week-012,TREN DE POTENCIA,POWER TRAIN,DT-635  TREN DE POTENCIA-CONVERTIDOR DE TORQUE,C¢digo Secundario,3/15/2016 2:52,111.6,1.9,No programado,BOTO EL TAP?N DE DRENAJE DEL CONVERTIDOR DE PAR,BOTO THE DRAIN TAP OF THE CONVERTER OF PAR,QQ-05
TK408,3/14/2016 17:53,Week-012,HIDRAULICO,HYDRAULIC,HY-1225  HIDRAULICO-CILINDROS,C¢digo Secundario,3/15/2016 3:42,589.08,9.8,No programado,NO SUBE LA TOLVA,DO NOT UP THE HOPPER,MO-20
TK434,3/16/2016 4:53,Week-012,MOTOR,MOTOR,EN-1035  MOTOR-ACEITE,C¢digo Secundario,3/16/2016 4:57,3.47,0.1,No programado,INSPECCI?N DE FUGA EN FILTRO DE ACEITE DE MOTOR,INSPECTION OF LEAKAGE IN ENGINE OIL FILTER,ENTRADA DE COMBUSTIBLE
TK403,3/15/2016 13:37,Week-012,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,3/16/2016 5:41,963.27,16.1,No programado,FALLO EN ACELERACI?N + HUMO BLANCO POR MUFFLER + PERDIDA DE POTENCIA ,ACCELERATION FAIL + WHITE SMOKE BY MUFFLER + POWER LOSS,MN350B002
TK408,3/16/2016 4:00,Week-012,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,3/16/2016 8:19,258.88,4.3,Programado,LAVADO PARA PM 1000 HRS,WASH FOR PM 1000 HRS,S-LG2A/350
TK408,3/16/2016 8:19,Week-012,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,3/17/2016 0:03,944.03,15.7,Programado,PM 1000 HRS,PM 1000 HRS,S-LG2A/350
TK408,3/17/2016 0:48,Week-012,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,3/17/2016 1:09,20.88,0.3,No programado,AIRE PARA ENCENDIDO,AIR FOR IGNITION,ENTRADA DE COMBUSTIBLE
TK403,3/17/2016 4:26,Week-012,MOTOR,MOTOR,EN-1025  MOTOR-COMBUSTIBLE,C¢digo Secundario,3/17/2016 4:41,15.47,0.3,No programado,SE AJUST? CADENA QUE AGARRA LOS PROTECTORES DEL TANQUE DE COMBUSTIBLE,SE ADJUST?†CHAIN ??THAT GRABS FUEL TANK PROTECTORS,ENTRADA TALLER 
TK408,3/17/2016 8:12,Week-012,CABINA/CHASSIS,CAB / CHASSIS,CC-445  CABINA/CHASSIS-ESTRUCTURA PRINCIPAL,C¢digo Secundario,3/18/2016 0:01,949.32,15.8,No programado,REPARACION DE GUARDAFANGO IZQUIERDO ,REPAIR OF LEFT GUARDAFANGO,ENTRADA DE COMBUSTIBLE
TK403,3/17/2016 13:31,Week-012,TREN DE POTENCIA,POWER TRAIN,DT-635  TREN DE POTENCIA-CONVERTIDOR DE TORQUE,C¢digo Secundario,3/18/2016 1:17,706.15,11.8,No programado,EVENTO DE ALTA TEMPERATURA DEL CONVERTIDOR DE PAR ,EVENT OF HIGH TEMPERATURE OF THE CONVERTER OF PAR,HR6-VIA1
TK422,3/18/2016 2:22,Week-012,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/18/2016 4:32,130.05,2.2,No programado,EVENTO DE CARRERA DE FRENOS ALTO NIVEL 3  ,HIGH LEVEL 3 BRAKE RACE EVENT,MN-07
TK422,3/18/2016 7:57,Week-012,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,3/18/2016 9:59,122.72,2,Programado,INSP. 250 HRS,INSP.†250 HRS,ENTRADA DE COMBUSTIBLE
TK422,3/18/2016 9:59,Week-012,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,3/18/2016 11:03,63.68,1.1,Programado,COMPLETAR ?RESION DE AIRE LLANTAS TRASERAS,COMPLETE? AIR RESTRAINT REAR TIRES,ENTRADA DE COMBUSTIBLE
TK434,3/18/2016 19:29,Week-012,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/18/2016 20:05,36.53,0.6,No programado,EVENTO DE CARRERA DE FRENOS ALTO NIVEL 3  ,HIGH LEVEL 3 BRAKE RACE EVENT,HR5-VIA2
TK434,3/18/2016 20:12,Week-012,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/18/2016 20:29,16.68,0.3,No programado,EVENTO DE CARRERA DE FRENOS ALTO NIVEL 3  ,HIGH LEVEL 3 BRAKE RACE EVENT,HR5-VIA2
TK434,3/19/2016 4:00,Week-012,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/19/2016 4:09,9.63,0.2,No programado,EVENTO DE CARREA DE FRENOS ALTO NIVEL 3 ,HIGH LEVEL 3 BRAKE CARE EVENT,HR2-VIA1
TK408,3/19/2016 3:22,Week-012,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,3/19/2016 5:11,109.5,1.8,No programado,EVENTO DE BAJA PRESI?N DE AIRE  ,EVENT OF LOW AIR PRESSURE,HR7-VIA8
TK408,3/19/2016 7:30,Week-012,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,3/19/2016 10:14,164.25,2.7,No programado,FALTA DE AIRE PARA ENCENDIDO + COMPLETAR COOLANT,LACK OF AIR TO IGNITION + COMPLETE COOLANT,HR7-VIA8
TK408,3/19/2016 10:14,Week-012,AIRE,AIR,AR-220  AIRE-VALVULAS,C¢digo Secundario,3/19/2016 14:57,283.45,4.7,No programado,CORRECCION FUGA DE AIRE POR MANGUERA DEL RETARDADOR MANUAL,CORRECTION MANUAL HYDRAULIC RETRIEVAL AIR LEAKAGE,HR7-VIA8
TK408,3/19/2016 15:01,Week-012,MOTOR,MOTOR,EN-1010  MOTOR-ENFRIAMIENTO,C¢digo Secundario,3/19/2016 16:58,116.97,1.9,No programado,CAMBIO MANGUERA DE REFRIGERANTE MOTOR POR FISURA,CHANGE HOSE OF REFRIGERANT MOTOR FOR FIST,HR7-VIA8
TK408,3/19/2016 20:10,Week-012,MOTOR,MOTOR,EN-1025  MOTOR-COMBUSTIBLE,C¢digo Secundario,3/19/2016 22:59,169,2.8,No programado,EST? FUGANDO COMBUSTIBLE POR EL RESPIRADO ,ITS T?†FUEL RUNNING BY THE BREATH,ENTRADA DE COMBUSTIBLE
TK434,3/19/2016 8:29,Week-012,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2015  GOMAS, AROS Y LLANTAS-RUEDA DELANTERA",C¢digo Secundario,3/20/2016 0:49,980,16.3,Programado,CAMBIO DE ARO DE LAS POSICION 5 ,CHANGE OF ARO FROM POSITION 5,ENTRADA DE COMBUSTIBLE
TK434,3/20/2016 8:51,Week-012,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2005  GOMAS, AROS Y LLANTAS-AROS/ACCESORIOS",C¢digo Secundario,3/20/2016 9:17,25.17,0.4,No programado,RETORQUEO DE LLANTAS,RETURNING OF TIRES,ENTRADA DE COMBUSTIBLE
TK434,3/21/2016 5:33,Week-012,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/21/2016 6:29,56.45,0.9,No programado,EVENTO DE CARRERA DE FRENOS ALTO NIVEL 3,HIGH LEVEL 3 BRAKE RACE EVENT,HR7-VIA4
TK434,3/21/2016 6:30,Week-013,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/21/2016 8:31,121.43,2,No programado,EVENTO DE CARRERA DE FRENOS ALTO NIVEL 3,HIGH LEVEL 3 BRAKE RACE EVENT,HR7-VIA4
TK408,3/21/2016 20:09,Week-013,CABINA/CHASSIS,CAB / CHASSIS,CC-440  CABINA/CHASSIS-ESCALERAS/PASAMANOS,C¢digo Secundario,3/22/2016 3:07,418.3,7,No programado,MONITOR DE LA C?MARA ESTA SUELTA Y NO TIENE EL INTERRUPTOR DEL CRISTAL Y NO TIENE LUZ DE LA ESCALERA ,MONITOR OF THE C? MARA THIS LOOSE AND DOES NOT HAVE THE CRYSTAL SWITCH AND DOES NOT HAVE LIGHT OF THE STAIRCASE,HR2-HR10
TK403,3/22/2016 2:28,Week-013,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,3/22/2016 4:18,110,1.8,No programado,NO ENCIENDE Y LA PRESI?N DE AIRE BAJO ,DO NOT IGNITE AND LOW AIR PRESSURE,MO190B701
TK408,3/23/2016 21:30,Week-013,MOTOR,MOTOR,EN-1025  MOTOR-COMBUSTIBLE,C¢digo Secundario,3/24/2016 2:57,326.3,5.4,No programado,EL FILTRO DE COMBUSTIBLE BOTA CADA VEZ QUE ES ABASTECIDO,THE FUEL FILTER BOOTS EACH TIME IT IS SUPPLIED,COMBUSTIBLE TALLER
TK408,3/24/2016 19:37,Week-013,MOTOR,MOTOR,EN-1025  MOTOR-COMBUSTIBLE,C¢digo Secundario,3/25/2016 4:08,511.12,8.5,No programado,CAMBIO DEL SISTEMA HUI GöIN ,CHANGE OF THE SYSTEM HUI GöIN,ENTRADA TALLER 
TK408,3/25/2016 4:08,Week-013,MOTOR,MOTOR,EN-1010  MOTOR-ENFRIAMIENTO,C¢digo Secundario,3/25/2016 5:28,79.33,1.3,No programado,COMPLETAR REFRIGERANTE DE MOTOR + GRASA ,COMPLETE ENGINE COOLER + FAT,ENTRADA DE COMBUSTIBLE
TK422,3/25/2016 14:41,Week-013,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,3/25/2016 16:07,86.37,1.4,No programado,BAJA PRESI?N DE  AIRE EN LA POSICION 6 ,LOW AIR PRESSURE IN POSITION 6,ENTRADA DE COMBUSTIBLE
TK434,3/25/2016 16:34,Week-013,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/25/2016 16:52,18.03,0.3,No programado,EVENTO DE CARRERA DE FRENOS ALTO NIVEL 3,HIGH LEVEL 3 BRAKE RACE EVENT,MO-02
TK422,3/25/2016 20:20,Week-013,IMPLEMENTOS,IMPLEMENTS,IM-1350  IMPLEMENTOS-TOLVA/CAMA,C¢digo Secundario,3/25/2016 20:23,3.87,0.1,No programado,REUBICACION DEL CABLE DE SEGURIDAD LA TOLVA,RELEASE OF THE SAFETY CABLE THE TOLVA,ENTRADA DE COMBUSTIBLE
TK434,3/26/2016 2:10,Week-013,SEGURIDAD,SECURITY,SF-1630  SEGURIDAD-RADIO DE MINA,C¢digo Secundario,3/26/2016 3:44,94.08,1.6,No programado,RADIO DE COMUNICACION NO SUBE VOLUMEN,COMMUNICATION RADIO DOES NOT VOLUME UP,PQ-VIA2
TK434,3/26/2016 3:44,Week-013,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,3/26/2016 5:58,134.6,2.2,Programado,LAVADO PARA PM,WASH FOR PM,PQ-VIA2
TK408,3/26/2016 7:55,Week-013,MOTOR,MOTOR,EN-1025  MOTOR-COMBUSTIBLE,C¢digo Secundario,3/26/2016 10:52,176.95,2.9,No programado,FUGA COMBUSTIBLE CUANDO SE BASTECE EN LA ESTACI?N ,COMBUSTIBLE LEAKAGE WHEN IT IS BINDING IN THE STATION,COMBUSTIBLE TSF
TK422,3/26/2016 10:32,Week-013,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/26/2016 11:11,39.3,0.7,No programado, BOCINA SUENA MUY BAJO ,Horn sounds very low,MO-14
TK403,3/26/2016 9:35,Week-013,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,3/26/2016 12:41,185.43,3.1,Programado, INS 250 HRS ,INS 250 HRS,ENTRADA DE COMBUSTIBLE
TK403,3/26/2016 12:41,Week-013,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-830  ELECTRICO 12/24 VOLTS-CABLEADO,C¢digo Secundario,3/26/2016 14:06,85.43,1.4,No programado,REPARACION DE CONECTOR DE INYECTOR DE COMBUSTIBLE #3,REPAIR OF FUEL INJECTOR CONNECTOR # 3,ENTRADA DE COMBUSTIBLE
TK434,3/26/2016 5:58,Week-013,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,3/26/2016 15:21,562.28,9.4,Programado,PM 500 HRS,PM 500 HRS,PQ-VIA2
TK434,3/26/2016 15:21,Week-013,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,3/26/2016 22:34,433.93,7.2,No programado,CAMBIO DE MANGUERAS DE ENFRIAMIENTO DEL DIFERENCIAL + CAMBIO DE SENSOR DE PRESI?N DE COMBUSTIBLE,CHANGE OF DIFFERENTIAL COOLING HOSES + CHANGE OF FUEL PRESSURE SENSOR,PQ-VIA2
TK434,3/27/2016 0:27,Week-013,MOTOR,MOTOR,EN-1030  MOTOR-ADMISION,C¢digo Secundario,3/27/2016 3:15,167.67,2.8,No programado,EVALUACION DE LOS TURBOS Y CAMBIO DE BOMBILLA DE LUZ INFERIOR DE TRABAJO,EVALUATION OF THE TURBOS AND CHANGE OF LOWER BULB LIGHT OF WORK,D-PAGA/190
TK422,3/27/2016 3:36,Week-013,FRENOS,BRAKES,BK-310  FRENOS-PARQUEO,C¢digo Secundario,3/27/2016 4:53,76.48,1.3,No programado,"INSPECCION POR EVENTO DE CARRERA DE FRENOS ALTO, NO SE ENCONTRO FALLA","INSPECTION BY HIGH BRAKE RACE EVENT, NO FAILURE IS FOUND",PQ-VIA2
TK403,3/27/2016 8:54,Week-013,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,3/27/2016 9:01,6.05,0.1,No programado,ESTA HUSMEANDO BLANCO ,IS HUSKING WHITE,HR7-VIA8
TK408,3/27/2016 15:32,Week-013,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,3/27/2016 17:00,88.13,1.5,No programado,Operator: tiene una maguera suelta me parece que es de grasa,Operator: It has a loose maguera I think it is fat,HR6-VIA3
TK403,3/28/2016 4:40,Week-013,AIRE,AIR,AR-215  AIRE-TANQUE RECIBIDOR,C¢digo Secundario,3/28/2016 5:17,37.43,0.6,No programado,NO ENCIENDE POR FALTA DE AIRE,DO NOT IGNITE FOR LACK OF AIR,HR7-VIA3
TK422,3/28/2016 8:04,Week-014,HIDRAULICO,HYDRAULIC,HY-1250  HIDRAULICO-TANQUE,C¢digo Secundario,3/28/2016 8:14,10.17,0.2,No programado,COMPLETIVO DE ACEITE DE DIRECCION ,COMPLETIVE STEERING OIL,HR5-VIA1
TK403,3/28/2016 16:22,Week-014,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/28/2016 16:34,12.47,0.2,No programado,TEMPERATURA DE ACEITE DE LOS FRENOS RANGO NO OPERATIVO,BRAKE OIL TEMPERATURE NON-OPERATING RANGE,CRUCE HR5 Y HR3
TK434,3/28/2016 9:17,Week-014,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/28/2016 20:53,695.92,11.6,No programado,RETARDADOR AUTOM?TICO NO ESTA FUNCIONANDO,AUTOMATIC RETARDER IS NOT WORKING,PQ-VIA2
TK403,3/28/2016 16:45,Week-014,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/28/2016 21:02,256.45,4.3,No programado,SE LIMPIO SENSOR DE TEMPERATURA DE ACEITE DE LOS FRENOS,BRAKE OIL TEMPERATURE CLEANER WAS CLEANED,CRUCE HR5 Y HR3
TK403,3/28/2016 21:02,Week-014,AIRE,AIR,AR-220  AIRE-VALVULAS,C¢digo Secundario,3/29/2016 0:07,184.88,3.1,No programado,CORRECCION FUGA DE AIRE POR VALVULA DE DRENAR EL TANQUE SECUNDARIO ,CORRECTION AIR LEAKAGE BY DRAIN VALVE TO DRAIN THE SECONDARY TANK,CRUCE HR5 Y HR3
TK434,3/28/2016 21:50,Week-014,TREN DE POTENCIA,POWER TRAIN,DT-645  TREN DE POTENCIA-TRANSMISION,C¢digo Secundario,3/29/2016 1:59,249.13,4.2,No programado,REEMPLAZO TARGETA DE LA TRANSMISION,REPLACEMENT TRANSMISSION CARD,ENTRADA DE COMBUSTIBLE
TK403,3/29/2016 1:46,Week-014,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,3/29/2016 5:03,197.48,3.3,No programado,REEMPLAZO DE SENSOR DE TEMPERATURA DE LOS FRENOS TRASERO DEREECHO,FRONT REAR TEMPERATURE SENSOR REPLACEMENT,HR6-VIA2
TK408,3/29/2016 8:44,Week-014,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,3/29/2016 9:50,65.85,1.1,No programado,FUGA POR MANGUERA QUE SALE DE LA TRANSMISI?N Y LA BOCINA NO FUNCIONA,HOSE LEAKING OUT OF THE TRANSMISSION AND THE HORN DOES NOT WORK,ENTRADA DE COMBUSTIBLE
TK422,3/29/2016 8:08,Week-014,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,3/29/2016 9:55,107.15,1.8,No programado,COMPLETAR PRESI?N DE AIRE LLANTA  # 3 Y 4,COMPLETE TIRE AIR PRESSURE # 3 AND 4,COMBUSTIBLE TALLER
TK403,3/29/2016 8:58,Week-014,CABINA/CHASSIS,CAB / CHASSIS,CC-410  CABINA/CHASSIS-CABINA,C¢digo Secundario,3/29/2016 10:46,107.78,1.8,No programado,NO FUNCIONA EL AIRE ACONDICIONADO + INSPECCI?N DE TODAS LLANTAS ,AIR CONDITIONING DOES NOT WORK + INSPECTION OF ALL RIMS,SALIDA-ESTACION COMBUSTIBLE
TK434,3/29/2016 15:09,Week-014,FRENOS,BRAKES,BK-305  FRENOS-ACUMULADOR DE FRENOS,C¢digo Secundario,3/29/2016 15:56,46.55,0.8,No programado,CARRERA DE FRENO ALTO,HIGH BRAKE RACE,MO300C201
TK422,3/30/2016 8:31,Week-014,SERVICIOS,SERVICES,SR-1730  SERVICIOS-LAVADO,C¢digo Secundario,3/30/2016 15:11,400.13,6.7,Programado,LAVADO PM 2000 HRS,WASHING PM 2000 HRS,ENTRADA DE COMBUSTIBLE
TK422,3/30/2016 15:11,Week-014,SERVICIOS,SERVICES,SR-1705  SERVICIOS-MANTENIMIENTO PROGRAMADO,C¢digo Secundario,3/31/2016 5:55,883.53,14.7,Programado,PM 2000 HRS,PM 2000 HRS,ENTRADA DE COMBUSTIBLE
TK422,3/31/2016 5:55,Week-014,HIDRAULICO,HYDRAULIC,HY-1235  HIDRAULICO-MANGUERAS/TUBERIAS,C¢digo Secundario,3/31/2016 15:05,550.63,9.2,No programado,L?NEA ABIERTA EN EL SWITCH ACCIONADO DE LA BOCINA,L? NEA OPEN IN THE POWERED SWITCH OF THE HORN,ENTRADA DE COMBUSTIBLE
TK408,3/31/2016 21:26,Week-014,"GOMAS, AROS Y LLANTAS","RUBBER, RIMS AND TIRES","TW-2010  GOMAS, AROS Y LLANTAS-NEUMATICO",C¢digo Secundario,04-01-16 0:27,180.58,3,No programado,INSPECCION DE LLANTAS,INSPECTION OF TIRES,ENTRADA DE COMBUSTIBLE
TK408,04-01-16 0:27,Week-014,CABINA/CHASSIS,CAB / CHASSIS,CC-425  CABINA/CHASSIS-SUSPENSION DELANTERA,C¢digo Secundario,04-01-16 2:13,105.58,1.8,No programado,INSPECCION DE SUSPENCIONES,INSPECTION OF SUSPENSIONS,ENTRADA DE COMBUSTIBLE
TK434,04-01-16 8:35,Week-014,FRENOS,BRAKES,BK-305  FRENOS-ACUMULADOR DE FRENOS,C¢digo Secundario,04-01-16 9:38,63.55,1.1,No programado,CARRERA DE FRENO ALTO NIVEL 3 ,HIGH LEVEL 3 BRAKE RACE,MO190B003
TK422,04-01-16 14:12,Week-014,DIRECCION,ADDRESS,ST-1805  DIRECCION-ACUMULADOR,C¢digo Secundario,04-01-16 16:36,144.15,2.4,No programado,FALLA EN LA DIRECCI?N ,FAILURE IN THE ADDRESS,HR6-VIA2
TK403,04-01-16 15:27,Week-014,MOTOR,MOTOR,EN-1015  MOTOR-MOTOR COMPLETO,C¢digo Secundario,04-01-16 17:10,103.08,1.7,No programado,SE APAGO SOLO,I ONLY TURN OFF,HR7-VIA3
TK422,04-02-16 8:03,Week-014,ELECTRICO 12/24 VOLTS,ELECTRIC 12/24 VOLTS,EL-815  ELECTRICO 12/24 VOLTS-CONTROL,C¢digo Secundario,04-02-16 8:32,28.63,0.5,No programado,SE LE AJUSTO PALANCA MULTIFUNCION FLOJA,MULTIFUNCTION LEFT FLOOR ADJUSTED,PARQUEO HR6
TK434,04-02-16 10:17,Week-014,FRENOS,BRAKES,BK-315  FRENOS-SERVICIO,C¢digo Secundario,04-02-16 10:52,34.45,0.6,No programado,SE REINICIO EL SISTEMA DE FRENOS,BRAKE SYSTEM RESET,MN350B006
